personId;firstName;lastName;displayName;dateOfBirth;dateOfDeath;placeOfBirth;placeOfDeath;additionalInfo
4551932;Jules;Massenet;Massenet Jules;;;;;
3559190;Henry Charles;Litolff;Litolff Henry Charles;1818;1891;;;
4368040;Joseph;Weigl;Weigl Joseph;;;;;
3582963;Ignas;Seyfried;Seyfried Ignas;;;;;
4400103;Adolphe;d'Ennery;d'Ennery Adolphe;;;;;
3766641;Philippe François;Dumanoir (Pinel);Dumanoir (Pinel) Philippe François;1806;1865;;;
4551937;Louis;Gallet;Gallet Louis;;;;;
3577097;Théodore;Barrière;Barrière Théodore;1823;1877;;;
4368042;Ignaz Franz;Castelli;Castelli Ignaz Franz;;;;;
3582965;Mätthaus;Stegmayer;Stegmayer Mätthaus;1771;1820;;;
3559182;John Filip;von Schantz;von Schantz John Filip;1835;1865;;;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><AdditionalInfo language-id=""fi_FI"">Schantz johti teatteriorkesteria Helsingissä ja järjesti teatteriesitysten lisäksi vuosina 1860–1861 konsertteja.</AdditionalInfo></root>"
3579997;Carl Gottfried Reinhold;Littmarck;Littmarck Carl Gottfried Reinhold;1842;;;;
3604492;Nathan B.;Emanuel;Emanuel Nathan B.;;;;;
4550670;V.;Selenij;Selenij V.;;;;;
4717435;Oskar;Merikanto;Merikanto Oskar;05.08.1868;17.02.1924;Helsinki;Oitti;
5266986;G. Ia.;Fistulari;Fistulari G. Ia.;;;;;
5484798;Arturo;Vigna;Vigna Arturo;;;;;
6098077;Ossian;Fohström;Fohström Ossian;;;;;
892371;Emmy;Achté (Strömer);Achté (Strömer) Emmy;;;;;
892519;Kaarlo;Bergbom;Bergbom Kaarlo;;;;;
3576691;Sven Albert;Åhman;Åhman Sven Albert;1832;1883;;;
3577933;Wilhelm;Åhman;Åhman Wilhelm;;;;;
3630274;Adolf;Lindfors;Lindfors Adolf;;;;;
4550672;Mikhail Sergeevich;Zimmermann;Zimmermann Mikhail Sergeevich;;;;;
5246487;Domenica A.;Duma;Duma Domenica A.;;;;;
14319746;Arnold;Schultz;Schultz Arnold;;;;;
881262;Taavi;Pesonen;Pesonen Taavi;;;;;
977257;August Alfred;Aspegrén;Aspegrén August Alfred;;;;;
3558528;Johan Gustaf;Gustafsson;Gustafsson Johan Gustaf;1835;1884;;;
3559318;Emilie Sofie;Gustafsson (f. Zeth);Gustafsson (f. Zeth) Emilie Sofie;1832;;;;"<?xml version='1.0' encoding='UTF-8'?><root available-locales=""fi_FI"" default-locale=""fi_FI""><AdditionalInfo language-id=""fi_FI"">Gift med Johan Gustaf Gistavsson, skådespelare.</AdditionalInfo></root>"
3561877;Charlotte;Agardh;Agardh Charlotte;;;;;
3561880;Louise;Åhman;Åhman Louise;1833;1924;;;
3566447;Hjalmar;Agardh;Agardh Hjalmar;1832;1892;;;
3569216;Harald Fredrik;Apelbom;Apelbom Harald Fredrik;1836;;;;
3576378;Gustaf Richard;Mallander;Mallander Gustaf Richard;1840;1888;;;
3576691;Sven Albert;Åhman;Åhman Sven Albert;1832;1883;;;
3578006;Gustaf;Wolter;Wolter Gustaf;;;;;
3582451;Johan Peter;Strandqvist;Strandqvist Johan Peter;;;;;
3582456;Leontine;Schwabitz;Schwabitz Leontine;;;;;
3582464;Jenny;Widgren;Widgren Jenny;;;;;
3582478;Augusta;Fehrnström;Fehrnström Augusta;;;;;
3584106;Ludvig;Fristedt;Fristedt Ludvig;;;;;
3584114;;Wahlgren;Wahlgren (Herr);;;;;
3630274;Adolf;Lindfors;Lindfors Adolf;;;;;
4550648;Maria;Kusnezowa;Kusnezowa Maria;;;;;
4550651;E.;Witting;Witting E. (Herr);;;;;
4550661;;Friedman;Friedman (Herr);;;;;
4550706;;Savransky;Savransky (Herr);;;;;
4550708;;Schwetz;Schwetz (Herr);;;;;
4550710;;Shenshova (Schenschowa);Shenshova (Schenschowa) (Fru);;;;;
4550712;;Molodkowa;Molodkowa (Fru);;;;;
4550714;;Saveljeva;Saveljeva (Fru);;;;;
4558514;Aino;Ackté;Ackté Aino;;;;;
4566177;Yrjö;Somersalmi;Somersalmi Yrjö;;;;;
4558522;Ida;Korander;Korander Ida;;;;;
4552076;Wäinö;Sola;Sola Wäinö;;;;;
4679984;Sigrid;Baltscheffskij;Baltscheffskij Sigrid;;;;;
5222587;Alex;Rautio;Rautio Alex;;;;;
5222521;Axel;Ahlberg;Ahlberg Axel;;;;;
5224343;Emeli;Stenberg;Stenberg Emeli;;;;;
4692118;Ragnar;Hyltén-Cavallius;Hyltén-Cavallius Ragnar;1885;1970;Stockholm;Stockholm;
5227670;Otto;Vallenius;Vallenius Otto;;;;;
5227666;Inez;Borg;Borg Inez;;;;;
5227668;Lilli (Elisabeth);Kajanus (née Kurikka);Kajanus (née Kurikka) Lilli (Elisabeth);;;;;
5227673;Kustaa;Salmi;Salmi Kustaa;;;;;
5227755;Kaarlo;Kilpi (oik. Frisk);Kilpi (oik. Frisk) Kaarlo;;;;;
5227729;Saimi;Järnefelt (née Swan);Järnefelt (née Swan) Saimi;;;;;
5227757;Emil;Falck;Falck Emil;;;;;
5239781;Iisakki;Lattu;Lattu Iisakki;;;;;
5246659;G.;Dumani;Dumani G.;;;;;
5247277;N.;Curini;Curini N.;;;;;
5247279;Luigi;Ferraioli;Ferraioli Luigi;;;;;
5247274;Orazio;Delle-Fornaci;Delle-Fornaci Orazio;;;;;
5257642;Nikolai;Miller;Miller Nikolai;;;;;
5247283;Matilda;Bruno;Bruno Matilda;;;;;
5247400;L.;Lazzarini;Lazzarini L.;;;;;
5325665;Maikki;Österman;Österman Maikki;;;;;
5519937;Aili;Somersalmi (née Rosvall);Somersalmi (née Rosvall) Aili;;;;;
5849702;Virgilio;Romano;Romano Virgilio;;;;;
5961821;Dagmar;Parmas;Parmas Dagmar;;;;;
13388604;Charlotte;Hausen;Hausen Charlotte;;;;;
14318972;;Neder;Neder (Mad.);;;;;
14318964;Friedrich;Becker;Becker Friedrich;;;;;
14318978;;Neder;Neder (Herr);;;;;
14318966;Annette;Becker;Becker Annette;;;;;
15284900;M.;Perttilä;Perttilä M.;;;;;
15284449;Götha;Weckman;Weckman Götha;;;;;
15284898;William;Beck;Beck William;;;;;
14319746;Arnold;Schultz;Schultz Arnold;;;;;
14320760;;Görcke;Görcke (Herr);;;;;
